,year,month,date_time,mean_temp
157,1853,FEB,1853-02-01,-5.3
158,1853,JAN,1853-01-01,-5.6
159,1853,JUL,1853-07-01,18.5
160,1853,JUN,1853-06-01,17.9
161,1853,MAR,1853-03-01,-1.5
162,1853,MAY,1853-05-01,9.8
163,1853,NOV,1853-11-01,3.1
164,1853,OCT,1853-10-01,6.2
165,1853,SEP,1853-09-01,14.8
166,1854,APR,1854-04-01,4.1
167,1854,AUG,1854-08-01,20.0
168,1854,DEC,1854-12-01,-5.6
169,1854,FEB,1854-02-01,-7.0
170,1854,JAN,1854-01-01,-5.9
171,1854,JUL,1854-07-01,22.0
172,1854,JUN,1854-06-01,16.8
173,1854,MAR,1854-03-01,-1.3
174,1854,MAY,1854-05-01,10.0
175,1854,NOV,1854-11-01,1.8
176,1854,OCT,1854-10-01,10.1
177,1854,SEP,1854-09-01,16.1
178,1855,APR,1855-04-01,5.9
179,1855,AUG,1855-08-01,18.0
180,1855,DEC,1855-12-01,-3.4
181,1855,FEB,1855-02-01,-10.0
182,1855,JAN,1855-01-01,-3.9
183,1855,JUL,1855-07-01,20.2
184,1855,JUN,1855-06-01,15.5
185,1855,MAR,1855-03-01,-2.2
186,1855,MAY,1855-05-01,11.9
187,1855,NOV,1855-11-01,2.9
188,1855,OCT,1855-10-01,6.5
189,1855,SEP,1855-09-01,15.2
190,1856,APR,1856-04-01,5.6
191,1856,AUG,1856-08-01,17.5
192,1856,DEC,1856-12-01,-5.5
193,1856,FEB,1856-02-01,-10.2
194,1856,JAN,1856-01-01,-9.8
195,1856,JUL,1856-07-01,21.0
196,1856,JUN,1856-06-01,16.7
197,1856,MAR,1856-03-01,-5.7
198,1856,MAY,1856-05-01,10.1
199,1856,NOV,1856-11-01,2.2
200,1856,OCT,1856-10-01,7.0
201,1856,SEP,1856-09-01,13.5
202,1857,APR,1857-04-01,1.9
203,1857,AUG,1857-08-01,18.2
204,1857,DEC,1857-12-01,-1.1
205,1857,FEB,1857-02-01,-2.2
206,1857,JAN,1857-01-01,-12.1
207,1857,JUL,1857-07-01,20.1
208,1857,JUN,1857-06-01,14.1
209,1857,MAR,1857-03-01,-3.1
210,1857,MAY,1857-05-01,9.4
211,1857,NOV,1857-11-01,0.7
212,1857,OCT,1857-10-01,7.1
213,1857,SEP,1857-09-01,14.4
214,1858,APR,1858-04-01,5.2
215,1858,AUG,1858-08-01,19.7
216,1858,DEC,1858-12-01,-2.6
217,1858,FEB,1858-02-01,-8.1
218,1858,JAN,1858-01-01,-1.4
219,1858,JUL,1858-07-01,19.9
220,1858,JUN,1858-06-01,18.5
221,1858,MAR,1858-03-01,-1.4
222,1858,MAY,1858-05-01,9.3
223,1858,NOV,1858-11-01,1.1
224,1858,OCT,1858-10-01,9.9
225,1858,SEP,1858-09-01,15.2
226,1859,APR,1859-04-01,4.4
227,1859,AUG,1859-08-01,19.6
228,1859,DEC,1859-12-01,-7.2
229,1859,FEB,1859-02-01,-3.5
230,1859,JAN,1859-01-01,-4.1
231,1859,JUL,1859-07-01,19.5
232,1859,JUN,1859-06-01,14.7
233,1859,MAR,1859-03-01,2.4
234,1859,MAY,1859-05-01,12.9
235,1859,NOV,1859-11-01,3.6
236,1859,OCT,1859-10-01,6.6
237,1859,SEP,1859-09-01,13.4
238,1860,APR,1860-04-01,4.3
239,1860,AUG,1860-08-01,18.4
240,1860,DEC,1860-12-01,-4.5
241,1860,FEB,1860-02-01,-5.3
242,1860,JAN,1860-01-01,-4.6
243,1860,JUL,1860-07-01,18.1
244,1860,JUN,1860-06-01,17.8
245,1860,MAR,1860-03-01,1.5
246,1860,MAY,1860-05-01,13.3
247,1860,NOV,1860-11-01,3.6
248,1860,OCT,1860-10-01,8.7
249,1860,SEP,1860-09-01,13.0
250,1861,APR,1861-04-01,5.9
251,1861,AUG,1861-08-01,19.1
252,1861,DEC,1861-12-01,-0.8
253,1861,FEB,1861-02-01,-3.6
254,1861,JAN,1861-01-01,-6.9
255,1861,JUL,1861-07-01,18.6
256,1861,JUN,1861-06-01,16.1
257,1861,MAR,1861-03-01,-2.8
258,1861,MAY,1861-05-01,8.9
259,1861,NOV,1861-11-01,3.0
260,1861,OCT,1861-10-01,9.2
261,1861,SEP,1861-09-01,15.1
262,1862,APR,1862-04-01,4.4
263,1862,AUG,1862-08-01,19.6
264,1862,DEC,1862-12-01,-1.7
265,1862,FEB,1862-02-01,-5.7
266,1862,JAN,1862-01-01,-5.9
267,1862,JUL,1862-07-01,19.6
268,1862,JUN,1862-06-01,15.6
269,1862,MAR,1862-03-01,-1.7
270,1862,MAY,1862-05-01,11.0
271,1862,NOV,1862-11-01,2.0
272,1862,OCT,1862-10-01,9.0
273,1862,SEP,1862-09-01,15.8
274,1863,APR,1863-04-01,5.4
275,1863,AUG,1863-08-01,19.4
276,1863,DEC,1863-12-01,-2.6
277,1863,FEB,1863-02-01,-5.2
278,1863,JAN,1863-01-01,-2.1
279,1863,JUL,1863-07-01,19.6
280,1863,JUN,1863-06-01,16.0
281,1863,MAR,1863-03-01,-3.3
282,1863,MAY,1863-05-01,12.7
283,1863,NOV,1863-11-01,4.0
284,1863,OCT,1863-10-01,8.2
285,1863,SEP,1863-09-01,13.2
286,1864,APR,1864-04-01,5.1
287,1864,AUG,1864-08-01,20.8
288,1864,DEC,1864-12-01,-3.4
289,1864,FEB,1864-02-01,-3.8
290,1864,JAN,1864-01-01,-4.8
291,1864,JUL,1864-07-01,21.1
292,1864,JUN,1864-06-01,17.2
293,1864,MAR,1864-03-01,-1.7
294,1864,MAY,1864-05-01,12.5
295,1864,NOV,1864-11-01,2.9
296,1864,OCT,1864-10-01,7.8
297,1864,SEP,1864-09-01,13.6
298,1865,APR,1865-04-01,6.0
299,1865,AUG,1865-08-01,18.5
300,1865,DEC,1865-12-01,-1.7
301,1865,FEB,1865-02-01,-5.5
302,1865,JAN,1865-01-01,-8.1
303,1865,JUL,1865-07-01,18.3
304,1865,JUN,1865-06-01,18.6
305,1865,MAR,1865-03-01,0.2
306,1865,MAY,1865-05-01,11.4
307,1865,NOV,1865-11-01,3.9
308,1865,OCT,1865-10-01,7.4
309,1865,SEP,1865-09-01,18.7
310,1866,APR,1866-04-01,7.0
311,1866,AUG,1866-08-01,16.2
312,1866,DEC,1866-12-01,-3.5
313,1866,FEB,1866-02-01,-5.5
314,1866,JAN,1866-01-01,-7.0
315,1866,JUL,1866-07-01,21.2
316,1866,JUN,1866-06-01,15.8
317,1866,MAR,1866-03-01,-2.6
318,1866,MAY,1866-05-01,9.3
319,1866,NOV,1866-11-01,3.7
320,1866,OCT,1866-10-01,10.4
321,1866,SEP,1866-09-01,13.6
322,1867,APR,1867-04-01,4.9
323,1867,AUG,1867-08-01,20.5
324,1867,DEC,1867-12-01,-5.3
325,1867,FEB,1867-02-01,-2.2
326,1867,JAN,1867-01-01,-8.1
327,1867,JUL,1867-07-01,20.1
328,1867,JUN,1867-06-01,18.2
329,1867,MAR,1867-03-01,-2.5
330,1867,MAY,1867-05-01,8.5
331,1867,NOV,1867-11-01,3.9
332,1867,OCT,1867-10-01,10.4
333,1867,SEP,1867-09-01,15.1
334,1868,APR,1868-04-01,3.4
335,1868,AUG,1868-08-01,19.8
336,1868,DEC,1868-12-01,-4.9
337,1868,FEB,1868-02-01,-8.1
338,1868,JAN,1868-01-01,-7.8
339,1868,JUL,1868-07-01,24.4
340,1868,JUN,1868-06-01,16.4
341,1868,MAR,1868-03-01,-0.3
342,1868,MAY,1868-05-01,11.2
343,1868,NOV,1868-11-01,2.6
344,1868,OCT,1868-10-01,6.2
345,1868,SEP,1868-09-01,14.0
346,1869,APR,1869-04-01,4.6
347,1869,AUG,1869-08-01,17.7
348,1869,DEC,1869-12-01,-1.6
349,1869,FEB,1869-02-01,-4.5
350,1869,JAN,1869-01-01,-2.1
351,1869,JUL,1869-07-01,18.6
352,1869,JUN,1869-06-01,14.8
353,1869,MAR,1869-03-01,-4.7
354,1869,MAY,1869-05-01,10.4
355,1869,NOV,1869-11-01,0.3
356,1869,OCT,1869-10-01,6.1
357,1869,SEP,1869-09-01,16.5
358,1870,APR,1870-04-01,7.3
359,1870,AUG,1870-08-01,19.5
360,1870,DEC,1870-12-01,-3.2
361,1870,FEB,1870-02-01,-5.9
362,1870,JAN,1870-01-01,-3.9
