Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1906,44.5,20.3,64.8,40.9,63.8,98.3,86.6,46.5,93.2,114.3,42.9,71.6
1907,104.6,21.8,54.1,53.1,49.0,53.8,51.6,27.7,121.9,50.3,89.4,127.3
1908,63.8,96.0,39.1,59.2,117.9,75.4,74.4,71.9,33.0,25.7,40.9,52.3
1909,67.6,80.8,70.4,137.4,96.5,30.7,88.4,33.8,49.8,29.0,85.6,67.3
1910,89.2,81.8,16.8,128.3,69.9,27.4,99.1,77.7,101.1,56.6,64.8,44.2
1911,53.1,53.8,52.1,39.9,51.1,38.6,66.5,61.5,65.3,90.9,97.3,72.6
1912,75.4,42.4,50.0,63.0,150.4,44.5,49.5,101.1,83.6,59.7,60.7,47.0
1913,111.0,29.7,103.6,89.2,26.7,34.5,67.8,57.9,24.9,62.5,97.5,26.4
1914,87.4,47.5,61.5,48.8,38.4,55.1,25.4,132.3,39.4,39.4,72.4,44.5
1915,102.4,54.6,21.3,33.0,40.9,34.0,114.6,206.8,107.7,55.6,48.0,64.0
1916,63.8,62.7,69.6,82.6,142.2,109.5,9.1,39.9,42.4,100.1,41.9,51.6
1917,75.4,22.9,59.2,85.6,70.1,127.3,91.2,113.0,16.8,121.7,32.3,61.0
1918,58.4,103.9,51.6,35.8,67.3,99.8,43.9,105.4,118.1,72.4,36.8,81.3
1919,26.4,48.5,81.3,73.7,130.8,69.1,81.3,55.1,48.5,75.7,41.4,25.4
1920,61.5,40.1,58.7,82.8,9.9,73.7,92.5,25.7,50.8,93.5,94.2,77.2
1921,17.0,34.3,53.6,124.7,48.0,54.6,67.6,52.6,32.3,113.3,36.8,61.2
1922,35.1,74.9,81.5,91.9,37.1,125.0,75.4,37.3,75.9,24.4,37.6,43.9
1923,80.3,26.9,78.7,58.9,94.2,107.7,43.7,90.9,67.8,42.2,83.8,76.7
1924,124.2,83.1,19.8,64.8,112.3,44.2,106.2,99.8,107.4,15.7,24.1,59.4
1925,50.8,91.4,72.6,34.3,31.0,53.3,99.3,52.8,97.3,66.8,96.5,29.2
1926,61.0,71.6,73.7,73.4,32.8,88.1,45.0,155.4,145.3,81.5,97.3,36.6
1927,39.9,51.8,57.4,26.2,81.5,64.0,149.1,37.3,28.2,55.6,115.3,74.4
1928,58.2,42.9,56.1,65.5,18.3,100.8,143.3,126.7,72.4,74.7,108.2,30.7
1929,138.7,37.8,89.9,154.7,95.8,36.8,112.5,49.3,19.8,62.0,84.3,58.2
1930,84.6,57.9,81.3,31.2,70.4,61.7,78.7,22.6,71.9,47.5,17.3,29.5
1931,66.5,28.7,71.6,48.3,48.0,54.9,78.7,53.3,55.4,50.5,62.0,76.2
1932,173.7,70.1,40.9,66.5,81.0,25.4,90.4,105.9,77.2,55.1,93.7,60.5
1933,41.1,41.1,43.9,64.8,28.4,46.7,38.9,61.2,34.3,57.4,73.7,73.9
1934,38.6,23.6,67.8,66.3,11.9,69.9,40.1,25.7,107.7,33.8,78.7,63.0
1935,77.0,60.7,31.8,24.1,43.2,86.9,91.2,11.4,81.3,39.9,80.8,52.6
